Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
500.000000	5.13836   	500.000000	5.13885   	500.000000	5.27587   	500.000000	5.08291   	500.000000	5.13768   	500.000000	0.00116916	
520.000000	5.05314   	520.000000	5.05458   	520.000000	5.19264   	520.000000	4.99951   	520.000000	5.05346   	520.000000	0.00112789	
540.000000	4.9743    	540.000000	4.97685   	540.000000	5.11596   	540.000000	4.92262   	540.000000	4.97576   	540.000000	0.00108955	
560.000000	4.90121   	560.000000	4.90496   	560.000000	5.04491   	560.000000	4.85156   	560.000000	4.9039    	560.000000	0.00105382	
580.000000	4.8333    	580.000000	4.83833   	580.000000	4.97879   	580.000000	4.78574   	580.000000	4.83731   	580.000000	0.00102045	
600.000000	4.77008   	600.000000	4.77646   	600.000000	4.91761   	600.000000	4.72463   	600.000000	4.77547   	600.000000	0.000989211	
620.000000	4.71114   	620.000000	4.7189    	620.000000	4.86082   	620.000000	4.6678    	620.000000	4.71794   	620.000000	0.000959896	
640.000000	4.65609   	640.000000	4.66525   	640.000000	4.80763   	640.000000	4.61483   	640.000000	4.66432   	640.000000	0.000932333	
660.000000	4.60461   	660.000000	4.61517   	660.000000	4.75786   	660.000000	4.56539   	660.000000	4.61426   	660.000000	0.000906368	
680.000000	4.55639   	680.000000	4.56834   	680.000000	4.71135   	680.000000	4.51915   	680.000000	4.56746   	680.000000	0.000881864	
700.000000	4.51118   	700.000000	4.52451   	700.000000	4.6678    	700.000000	4.47586   	700.000000	4.52365   	700.000000	0.0008587 	
720.000000	4.46873   	720.000000	4.48343   	720.000000	4.62694   	720.000000	4.43526   	720.000000	4.48259   	720.000000	0.000836767	
740.000000	4.42884   	740.000000	4.44488   	740.000000	4.58854   	740.000000	4.39713   	740.000000	4.44406   	740.000000	0.000815968	
760.000000	4.39132   	760.000000	4.40866   	760.000000	4.55242   	760.000000	4.36127   	760.000000	4.40786   	760.000000	0.000796217	
780.000000	4.356     	780.000000	4.3746    	780.000000	4.51843   	780.000000	4.32752   	780.000000	4.37383   	780.000000	0.000777435	
800.000000	4.32272   	800.000000	4.34255   	800.000000	4.48642   	800.000000	4.29572   	800.000000	4.34179   	800.000000	0.000759552	
820.000000	4.29135   	820.000000	4.31235   	820.000000	4.45619   	820.000000	4.26571   	820.000000	4.31161   	820.000000	0.000742504	
840.000000	4.26174   	840.000000	4.28389   	840.000000	4.42755   	840.000000	4.23737   	840.000000	4.28316   	840.000000	0.000726233	
860.000000	4.2338    	860.000000	4.25704   	860.000000	4.40037   	860.000000	4.21058   	860.000000	4.25633   	860.000000	0.000710687	
880.000000	4.20742   	880.000000	4.23169   	880.000000	4.37464   	880.000000	4.18524   	880.000000	4.231     	880.000000	0.000695816	
900.000000	4.18248   	900.000000	4.20775   	900.000000	4.35035   	900.000000	4.16124   	900.000000	4.20707   	900.000000	0.000681579	
920.000000	4.15892   	920.000000	4.18513   	920.000000	4.32741   	920.000000	4.1385    	920.000000	4.18446   	920.000000	0.000667934	
940.000000	4.13664   	940.000000	4.16374   	940.000000	4.30566   	940.000000	4.11693   	940.000000	4.16309   	940.000000	0.000654845	
960.000000	4.11557   	960.000000	4.14352   	960.000000	4.28497   	960.000000	4.09646   	960.000000	4.14288   	960.000000	0.000642279	
980.000000	4.09564   	980.000000	4.12438   	980.000000	4.26523   	980.000000	4.07702   	980.000000	4.12375   	980.000000	0.000630204	
1000.000000	4.07679   	1000.000000	4.10627   	1000.000000	4.24644   	1000.000000	4.05855   	1000.000000	4.10565   	1000.000000	0.000618591	
1020.000000	4.05896   	1020.000000	4.08913   	1020.000000	4.22858   	1020.000000	4.04099   	1020.000000	4.08852   	1020.000000	0.000607414	
1040.000000	4.04209   	1040.000000	4.0729    	1040.000000	4.21163   	1040.000000	4.02427   	1040.000000	4.0723    	1040.000000	0.000596649	
1060.000000	4.02613   	1060.000000	4.05753   	1060.000000	4.19556   	1060.000000	4.00836   	1060.000000	4.05694   	1060.000000	0.000586273	
1080.000000	4.01104   	1080.000000	4.04298   	1080.000000	4.18026   	1080.000000	3.99321   	1080.000000	4.0424    	1080.000000	0.000576266	
1100.000000	3.99677   	1100.000000	4.0292    	1100.000000	4.16567   	1100.000000	3.97877   	1100.000000	4.02863   	1100.000000	0.000566607	
1120.000000	3.98328   	1120.000000	4.01614   	1120.000000	4.15172   	1120.000000	3.96501   	1120.000000	4.01559   	1120.000000	0.000557278	
1140.000000	3.97052   	1140.000000	4.00379   	1140.000000	4.13838   	1140.000000	3.95188   	1140.000000	4.00324   	1140.000000	0.000548263	
1160.000000	3.95848   	1160.000000	3.99209   	1160.000000	4.12562   	1160.000000	3.93936   	1160.000000	3.99155   	1160.000000	0.000539546	
1180.000000	3.94711   	1180.000000	3.98102   	1180.000000	4.11342   	1180.000000	3.9274    	1180.000000	3.98048   	1180.000000	0.000531112	
1200.000000	3.93637   	1200.000000	3.97054   	1200.000000	4.10177   	1200.000000	3.91599   	1200.000000	3.97001   	1200.000000	0.000522947	
1220.000000	3.92625   	1220.000000	3.96062   	1220.000000	4.09064   	1220.000000	3.90508   	1220.000000	3.96011   	1220.000000	0.000515039	
